link,text,user,likes,quotes,retweets,comments,Unnamed: 0
https://twitter.com/zsimayi/status/1807836347778097572#m,"I have a conspiracy theory: - the GP ANC negotiators are friends to the EFF. They are intentionally pushing the DA away in order to collapse the GNU - they want to work with the EFF and/or MK  If the NEC does not impose itself there, GP will collapse the GNU",Irvin Jim Slayer,165,7,54,29,
https://twitter.com/ristomsele64508/status/1807859284606087466#m,Most ANC members were forced to this GNU of DA  by Cyril,MK/ EFF/ ATM,0,0,0,0,
https://twitter.com/YakaFortune/status/1807858667552690315#m,"The ANC created this mess, it should have excluded the DA but instead they continued with it. The EFF and MK Party still have numbers but instead were excluded. Hence the DA dictates which positions they want in the cabinet. The GNU as it stands doesn't make sense.",X_Analyst ⚖,0,0,0,0,
https://twitter.com/BarakSiera/status/1807858516138643508#m,"DA didn't vote with ANC in Northern Cape. Lesufi can work with whom ever he pleases in Gauteng.  Angisho it is said GNU has an open invitation and by extension so does GPU.EFF/MK aren't in GNU nationally ""cos of DA"", the same will happen in GP's GPU DA will be out cos of the two",Barak Siera💚🇿🇦,0,0,0,0,
https://twitter.com/CMogoeng/status/1807825348840628595#m,"May parliament open I can’t wait to see how the EFF will execute   We are the EFF we move in our own way, speed and finesse   The GNU or ANC DA coalition is in full swing but we are the ones tending rather coz instead, everyone is talking about us. We are the EFF",I Am Not Chief Justice Mogoeng,24,0,5,3,
https://twitter.com/autiwakosouthy/status/1807858105025245587#m,It don't slap!,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/bigkoostar/status/1805820813288898708#m,"Imagine if the EFF was part of that 'GNU'. The media and the racists would be blaming the party for what is happening. The EFF is always a scapegoat in this country.  I am glad the EFF is out of that nonsense so the hypocrite, DA,and the sellout, ANC, can be exposed.  😏",TakaSyo,303,0,76,6,
https://twitter.com/khumo34880/status/1807857701533175932#m,Is ANc in a coalition with DA? Are you saying Eff and MK are not allowed to join GNU? I thought Mbalula said they invited ALL political parties to form GNU were they dont reach 50%,Khumoetsile,0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807857597204070613#m,,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/kunta_j/status/1807837877746716893#m,What is happening in Gauteng could possibly a snapshot of what is actually taking place in the ANC NEC itself. How do you form a GNU when you don't have unity within your ranks? The ANC is not united. 🙄🙄🙄,Ngoako Kunta Kganakga,8,0,5,1,
https://twitter.com/zsimayi/status/1807837940225028292#m,"ANC GP could be carrying a mandate to bring about the ANC-EFF-MK, which will in turn put pressure on the GNU - they will pretend to be working together, and then say: 'See, this ANC-EFF-MK is working in GP, why not duplicate it nationally!'",Irvin Jim Slayer,17,0,1,4,
https://twitter.com/autiwakosouthy/status/1807856613534929008#m,"I think most brown and black countries are, we are tired shem.","EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807855213488767039#m,"Will be around forever 😂 we will out live Ramaphosa and this so called GNU, millions of us!","EFF is not in GNU, call ANC DA IFP",0,0,0,1,
https://twitter.com/autiwakosouthy/status/1807854793895170423#m,They burn down those institutions 😂😂😂 they don't play ama 2000,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/Lesego72868480/status/1807853740151496862#m,Lol why are they trying to hide that this invader was born in Zimbabwe I mean their boss Helen Zille is German is really not big deal most DA whites are foreigners and blacks in SA only hate black foreigners.,Lesego,2,0,1,0,
https://twitter.com/DenzelExcel/status/1807494638724321757#m,"Dr Nkosazane Dlamini Zuma join the Andile Lungisa on the denied the GNU of President Cyril Ramaphosa , they don't want to work with DA of Helen Zille  Finally Someone stood for real ANC, Ramaphosa sold the ANC to DA   #GNU2024 National Executive The EFF",DenzelExcel,353,8,152,42,
https://twitter.com/phakxx/status/1807797221254967724#m,"I was listening to Helen Zille on Aldrins show. She keeps speaking like a member of the opposition. Can someone remind uGogo Zille that she is in govt now. She must use words like ""we"" and ""us"". She cannot separate herself to the ANC 🤣🤣",Phakamile Hlubi-Majola,250,2,126,21,
https://twitter.com/autiwakosouthy/status/1807853303914438929#m,"They haven't done nothing, they'll drive that narrative home 😂😂 WMC media is relentless at least we have ethical alternatives like IOL counter propaganda Baba 😂😂😂","EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/BraHlonisky/status/1807800100699214027#m,Embedded media is helping DA peddle lies that parties which are not part of GNU are anti-constitutional & don't abide by democratic principles. This is a lie cooked from prominent newsrooms. All 7 parties which remain outside GNU swore allegiance to constitution in front of a sober Judge. All of them participated in a democratic election. None of them has ever attempted to assume power through barrel of the gun.,Bra Hloni,82,2,39,7,
https://twitter.com/autiwakosouthy/status/1807852557601235118#m,"Why not? GNU is a big spender with a bloated cabinet let's not act like cost is an issue, GNU is a baller!","EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/siko_lena/status/1807852044050366784#m,"ANC and DA are fighting about positions, but wena out of nowhere you find a magical way to bring EFF and MKP into parties that have an agreement at national (GNU)",Siko,0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807851811614658966#m,It's yours wena love ❤️,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807851605448184166#m,"They are eating humble pie, matter of fact white business prefers our Zim and Moz brothers and sisters as cheap labour, the desperation of our bros and sisters make them the perfect candidates as they are easily disposal at any sight of inconvenience. They voted, they must enjoy","EFF is not in GNU, call ANC DA IFP",1,0,0,0,
https://twitter.com/AyeeNdeM/status/1807851130602373300#m,"The ANC nationally did not agree with EFF and therefore EFF is not part of GNU  The same principle can apply in Gauteng. If the ANC in Gauteng cannot agree with the DA, then they must be excluded",Mr Ayee,0,0,0,0,
https://twitter.com/NalediChirwa/status/1807756601454891341#m,OPEN BORDERS  DA: we want the cheap labour of Zimbabweans.  EFF: we want massive development of the African economy which result in more jobs and easier economic trade within the continent.    People: “we will humble the EFF…”  Make it make sense 🤷🏾‍♀️,Fighter 🇵🇸,1750,33,519,219,
https://twitter.com/zsimayi/status/1807836347778097572#m,"I have a conspiracy theory: - the GP ANC negotiators are friends to the EFF. They are intentionally pushing the DA away in order to collapse the GNU - they want to work with the EFF and/or MK  If the NEC does not impose itself there, GP will collapse the GNU",Irvin Jim Slayer,165,7,54,29,
https://twitter.com/ristomsele64508/status/1807859284606087466#m,Most ANC members were forced to this GNU of DA  by Cyril,MK/ EFF/ ATM,0,0,0,0,
https://twitter.com/YakaFortune/status/1807858667552690315#m,"The ANC created this mess, it should have excluded the DA but instead they continued with it. The EFF and MK Party still have numbers but instead were excluded. Hence the DA dictates which positions they want in the cabinet. The GNU as it stands doesn't make sense.",X_Analyst ⚖,0,0,0,0,
https://twitter.com/BarakSiera/status/1807858516138643508#m,"DA didn't vote with ANC in Northern Cape. Lesufi can work with whom ever he pleases in Gauteng.  Angisho it is said GNU has an open invitation and by extension so does GPU.EFF/MK aren't in GNU nationally ""cos of DA"", the same will happen in GP's GPU DA will be out cos of the two",Barak Siera💚🇿🇦,0,0,0,0,
https://twitter.com/CMogoeng/status/1807825348840628595#m,"May parliament open I can’t wait to see how the EFF will execute   We are the EFF we move in our own way, speed and finesse   The GNU or ANC DA coalition is in full swing but we are the ones tending rather coz instead, everyone is talking about us. We are the EFF",I Am Not Chief Justice Mogoeng,24,0,5,3,
https://twitter.com/autiwakosouthy/status/1807858105025245587#m,It don't slap!,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/bigkoostar/status/1805820813288898708#m,"Imagine if the EFF was part of that 'GNU'. The media and the racists would be blaming the party for what is happening. The EFF is always a scapegoat in this country.  I am glad the EFF is out of that nonsense so the hypocrite, DA,and the sellout, ANC, can be exposed.  😏",TakaSyo,303,0,76,6,
https://twitter.com/khumo34880/status/1807857701533175932#m,Is ANc in a coalition with DA? Are you saying Eff and MK are not allowed to join GNU? I thought Mbalula said they invited ALL political parties to form GNU were they dont reach 50%,Khumoetsile,0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807857597204070613#m,,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/kunta_j/status/1807837877746716893#m,What is happening in Gauteng could possibly a snapshot of what is actually taking place in the ANC NEC itself. How do you form a GNU when you don't have unity within your ranks? The ANC is not united. 🙄🙄🙄,Ngoako Kunta Kganakga,8,0,5,1,
https://twitter.com/zsimayi/status/1807837940225028292#m,"ANC GP could be carrying a mandate to bring about the ANC-EFF-MK, which will in turn put pressure on the GNU - they will pretend to be working together, and then say: 'See, this ANC-EFF-MK is working in GP, why not duplicate it nationally!'",Irvin Jim Slayer,17,0,1,4,
https://twitter.com/autiwakosouthy/status/1807856613534929008#m,"I think most brown and black countries are, we are tired shem.","EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807855213488767039#m,"Will be around forever 😂 we will out live Ramaphosa and this so called GNU, millions of us!","EFF is not in GNU, call ANC DA IFP",0,0,0,1,
https://twitter.com/autiwakosouthy/status/1807854793895170423#m,They burn down those institutions 😂😂😂 they don't play ama 2000,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/Lesego72868480/status/1807853740151496862#m,Lol why are they trying to hide that this invader was born in Zimbabwe I mean their boss Helen Zille is German is really not big deal most DA whites are foreigners and blacks in SA only hate black foreigners.,Lesego,2,0,1,0,
https://twitter.com/DenzelExcel/status/1807494638724321757#m,"Dr Nkosazane Dlamini Zuma join the Andile Lungisa on the denied the GNU of President Cyril Ramaphosa , they don't want to work with DA of Helen Zille  Finally Someone stood for real ANC, Ramaphosa sold the ANC to DA   #GNU2024 National Executive The EFF",DenzelExcel,353,8,152,42,
https://twitter.com/phakxx/status/1807797221254967724#m,"I was listening to Helen Zille on Aldrins show. She keeps speaking like a member of the opposition. Can someone remind uGogo Zille that she is in govt now. She must use words like ""we"" and ""us"". She cannot separate herself to the ANC 🤣🤣",Phakamile Hlubi-Majola,250,2,126,21,
https://twitter.com/autiwakosouthy/status/1807853303914438929#m,"They haven't done nothing, they'll drive that narrative home 😂😂 WMC media is relentless at least we have ethical alternatives like IOL counter propaganda Baba 😂😂😂","EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/BraHlonisky/status/1807800100699214027#m,Embedded media is helping DA peddle lies that parties which are not part of GNU are anti-constitutional & don't abide by democratic principles. This is a lie cooked from prominent newsrooms. All 7 parties which remain outside GNU swore allegiance to constitution in front of a sober Judge. All of them participated in a democratic election. None of them has ever attempted to assume power through barrel of the gun.,Bra Hloni,82,2,39,7,
https://twitter.com/autiwakosouthy/status/1807852557601235118#m,"Why not? GNU is a big spender with a bloated cabinet let's not act like cost is an issue, GNU is a baller!","EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/siko_lena/status/1807852044050366784#m,"ANC and DA are fighting about positions, but wena out of nowhere you find a magical way to bring EFF and MKP into parties that have an agreement at national (GNU)",Siko,0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807851811614658966#m,It's yours wena love ❤️,"EFF is not in GNU, call ANC DA IFP",0,0,0,0,
https://twitter.com/autiwakosouthy/status/1807851605448184166#m,"They are eating humble pie, matter of fact white business prefers our Zim and Moz brothers and sisters as cheap labour, the desperation of our bros and sisters make them the perfect candidates as they are easily disposal at any sight of inconvenience. They voted, they must enjoy","EFF is not in GNU, call ANC DA IFP",1,0,0,0,
https://twitter.com/AyeeNdeM/status/1807851130602373300#m,"The ANC nationally did not agree with EFF and therefore EFF is not part of GNU  The same principle can apply in Gauteng. If the ANC in Gauteng cannot agree with the DA, then they must be excluded",Mr Ayee,0,0,0,0,
https://twitter.com/NalediChirwa/status/1807756601454891341#m,OPEN BORDERS  DA: we want the cheap labour of Zimbabweans.  EFF: we want massive development of the African economy which result in more jobs and easier economic trade within the continent.    People: “we will humble the EFF…”  Make it make sense 🤷🏾‍♀️,Fighter 🇵🇸,1750,33,519,219,
https://twitter.com/zsimayi/status/1807836347778097572#m,"I have a conspiracy theory: - the GP ANC negotiators are friends to the EFF. They are intentionally pushing the DA away in order to collapse the GNU - they want to work with the EFF and/or MK  If the NEC does not impose itself there, GP will collapse the GNU",Irvin Jim Slayer,165,7,54,29,
https://twitter.com/ristomsele64508/status/1807859284606087466#m,Most ANC members were forced to this GNU of DA  by Cyril,MK/ EFF/ ATM,0,0,0,0,
https://twitter.com/YakaFortune/status/1807858667552690315#m,"The ANC created this mess, it should have excluded the DA but instead they continued with it. The EFF and MK Party still have numbers but instead were excluded. Hence the DA dictates which positions they want in the cabinet. The GNU as it stands doesn't make sense.",X_Analyst ⚖,0,0,0,0,
